Name,Area,Purpose,Description/Details,Address
Kichi Kichi,Kyoto,Restaurant,Famous Omurice guy. Need to make reservation,"185-4 Zaimokucho, Nakagyo Ward, Kyoto, 604-8017, Japan"
Engine Ramen,Kyoto,Restaurant,Ramen spot,"580-2 Nakanocho, Nakagyo Ward, Kyoto, 604-8042, Japan"
International Manga Museum,Kyoto,Sightseeing,Its in the name seems pretty cool. ~$7 admission fee,"452 Kinbukicho, Nakagyo Ward, Kyoto, 604-0846, Japan"
1 OAK,Minato City,Clubs,Pretty good,"1 Chome-4-5 Azabujuban, Minato City, Tokyo 106-0045, Japan"
Yakiniku Like,Multiple Locations,Restaurant,Good yakiniku chain,
BicCamera,Multiple Locations,Stores,Electronics store with hella stuff,
Don Quijote,Multiple Locations,Stores,Chain store that sells everything basically. Its literally Japanese Walmart ,
Sukiya,Multiple Locations,Restaurant,Gyudon chain restaurant,
Gyukatsu Motomura,Multiple Locations,Restaurant,Must try gyukatsu restaurant,
Hanaruken Hozenji,Osaka,Restaurant,"Ramen open 24 hours, next to our AirBNB","1 Chome-2-1 Namba, Chuo Ward, Osaka, 542-0076, Japan"
OWL,Osaka,Clubs,One of the best clubs in Japan,
Japonica Tokyo,Shibuya,Restaurant,Solid food,"16-5 Daikanyamacho, Shibuya, Tokyo 150-0034, Japan"
Jin's Eyewear,Shibuya,Stores,"Reputable and high quality place for glasses, free eye exam, can pick up prescription glasses on the same day","Japan, 〒150-0042 Tokyo, Shibuya, Udagawacho, 31番1号"
Cas:pace,Harujuku,Stores,Sells cases for phones and airpods. Pretty cool designs,"Japan, 〒150-0001 Tokyo, Shibuya, Jingumae, 3 Chome−24−3 桑原ビル 1階B"
CE LA VI,Shibuya,Clubs,"Really cool view but kinda expensive and not worth, only really older people go here","Japan, 〒150-0043 Tokyo, Shibuya, Dogenzaka, 1 Chome−2−3 東急プラザ渋谷17階 ＆18階"
Omoide Yokocho,Shinjuku,Sightseeing,Narrow alleyway with food stalls and bars,
Golden Gai,Shinjuku,Sightseeing,Narrow alleyway with a lot of bars. Might be a little tourist-y though,
Egg Baby Cafe,Taito,Cafe,Soft-boiled egg sandwich,"5 Chome-10-9 Ueno, Taito City, Tokyo 110-0005, Japan"
Age.3,,Dessert,Fried sandwich with filling,"Japan, 〒104-0061 Tokyo, Chuo City, Ginza, 1 Chome−24−11 杉浦ビル 1Ｆ"
Togoshiya,Shibuya,Restaurant,Rice ball shop,
Menchirashi Harajuku,Harujuku,Restaurant,Udon carbonara,
Gion Unagi Kawato Kyoto,Kyoto,Restaurant,Allegedly best eel restaurant,
BAIA,Shibuya,Clubs,"Don's personal favorite, can be a little dead on weekdays","16-17 Udagawacho, Shibuya, Tokyo 150-0042, Japan"
TK Nightclub,Shibuya,Clubs,Sometimes give you free entry for foreigners if you get a card on the street,"Japan, 〒150-0042 Tokyo, Shibuya, Udagawacho, 13−8 B1"
Atom/Harlem,,Clubs,,
Ippodo Tea ,Kyoto,Stores,Buy Matcha,
GOKAGO,Kyoto,Cafe,Matcha Place,
Fushima Inari Taisha,Kyoto,Sightseeing,Come early to get that insta pic -> https://www.japan-guide.com/g18/3915_top.jpg,
Kiyomizu-dera,Kyoto,Sightseeing,https://tinyurl.com/bdvznwh9,
HIgashiyama District,Kyoto,Sightseeing,https://tinyurl.com/27saft4u,
Nintendo Museum,Kyoto,Sightseeing,Kinda far from a lot of stuff we wanna get to in Kyoto but looks really cool,
Arashiyama Bamboo Forest,Kyoto,Sightseeing,https://tinyurl.com/bdzy7fvb,
